receipt_date,region,channel,brand,sum,sum_of_brand,total_amount,percent_of_brand_sales
2019-08-01,Ленинградская область,chain,marlboro,4354,6159519,18989072,0.32
2019-08-01,Ленинградская область,nonchain,marlboro,21584,6159519,18989072,0.32
2019-08-01,Московская область,chain,marlboro,2054,6159519,18989072,0.32
2019-08-01,Московская область,nonchain,marlboro,21619,6159519,18989072,0.32
2019-08-01,Новосибирская область,chain,marlboro,9564,6159519,18989072,0.32
2019-08-01,Новосибирская область,nonchain,marlboro,14906,6159519,18989072,0.32
2019-08-01,Санкт-Петербург,chain,marlboro,6690,6159519,18989072,0.32
2019-08-01,Санкт-Петербург,nonchain,marlboro,51806,6159519,18989072,0.32
2019-08-01,Свердловская область,chain,marlboro,4076,6159519,18989072,0.32
2019-08-01,Свердловская область,nonchain,marlboro,9195,6159519,18989072,0.32
2019-08-01,г. Москва,chain,marlboro,5125,6159519,18989072,0.32
2019-08-01,г. Москва,nonchain,marlboro,36660,6159519,18989072,0.32
2019-08-02,Ленинградская область,chain,marlboro,1830,6159519,18989072,0.32
2019-08-02,Ленинградская область,nonchain,marlboro,36651,6159519,18989072,0.32
2019-08-02,Московская область,chain,marlboro,2797,6159519,18989072,0.32
2019-08-02,Московская область,nonchain,marlboro,26778,6159519,18989072,0.32
2019-08-02,Новосибирская область,chain,marlboro,13274,6159519,18989072,0.32
2019-08-02,Новосибирская область,nonchain,marlboro,14024,6159519,18989072,0.32
2019-08-02,Санкт-Петербург,chain,marlboro,4598,6159519,18989072,0.32
2019-08-02,Санкт-Петербург,nonchain,marlboro,48699,6159519,18989072,0.32
2019-08-02,Свердловская область,chain,marlboro,2469,6159519,18989072,0.32
2019-08-02,Свердловская область,nonchain,marlboro,12920,6159519,18989072,0.32
2019-08-02,г. Москва,chain,marlboro,3568,6159519,18989072,0.32
2019-08-02,г. Москва,nonchain,marlboro,28603,6159519,18989072,0.32
2019-08-03,Ленинградская область,chain,marlboro,3263,6159519,18989072,0.32
2019-08-03,Ленинградская область,nonchain,marlboro,30982,6159519,18989072,0.32
2019-08-03,Московская область,chain,marlboro,2369,6159519,18989072,0.32
2019-08-03,Московская область,nonchain,marlboro,28364,6159519,18989072,0.32
2019-08-03,Новосибирская область,chain,marlboro,12929,6159519,18989072,0.32
2019-08-03,Новосибирская область,nonchain,marlboro,12814,6159519,18989072,0.32
2019-08-03,Санкт-Петербург,chain,marlboro,5731,6159519,18989072,0.32
2019-08-03,Санкт-Петербург,nonchain,marlboro,86850,6159519,18989072,0.32
2019-08-03,Свердловская область,chain,marlboro,1822,6159519,18989072,0.32
2019-08-03,Свердловская область,nonchain,marlboro,12361,6159519,18989072,0.32
2019-08-03,г. Москва,chain,marlboro,1616,6159519,18989072,0.32
2019-08-03,г. Москва,nonchain,marlboro,25798,6159519,18989072,0.32
2019-08-04,Ленинградская область,chain,marlboro,2546,6159519,18989072,0.32
2019-08-04,Ленинградская область,nonchain,marlboro,28368,6159519,18989072,0.32
2019-08-04,Московская область,chain,marlboro,748,6159519,18989072,0.32
2019-08-04,Московская область,nonchain,marlboro,22356,6159519,18989072,0.32
2019-08-04,Новосибирская область,chain,marlboro,11168,6159519,18989072,0.32
2019-08-04,Новосибирская область,nonchain,marlboro,14457,6159519,18989072,0.32
2019-08-04,Санкт-Петербург,chain,marlboro,6141,6159519,18989072,0.32
2019-08-04,Санкт-Петербург,nonchain,marlboro,33074,6159519,18989072,0.32
2019-08-04,Свердловская область,chain,marlboro,456,6159519,18989072,0.32
2019-08-04,Свердловская область,nonchain,marlboro,8069,6159519,18989072,0.32
2019-08-04,г. Москва,chain,marlboro,1332,6159519,18989072,0.32
2019-08-04,г. Москва,nonchain,marlboro,18522,6159519,18989072,0.32
2019-08-05,Ленинградская область,chain,marlboro,4546,6159519,18989072,0.32
2019-08-05,Ленинградская область,nonchain,marlboro,18738,6159519,18989072,0.32
2019-08-05,Московская область,chain,marlboro,1147,6159519,18989072,0.32
2019-08-05,Московская область,nonchain,marlboro,16509,6159519,18989072,0.32
2019-08-05,Новосибирская область,chain,marlboro,10856,6159519,18989072,0.32
2019-08-05,Новосибирская область,nonchain,marlboro,12958,6159519,18989072,0.32
2019-08-05,Санкт-Петербург,chain,marlboro,8008,6159519,18989072,0.32
2019-08-05,Санкт-Петербург,nonchain,marlboro,25439,6159519,18989072,0.32
2019-08-05,Свердловская область,chain,marlboro,1564,6159519,18989072,0.32
2019-08-05,Свердловская область,nonchain,marlboro,9728,6159519,18989072,0.32
2019-08-05,г. Москва,chain,marlboro,2502,6159519,18989072,0.32
2019-08-05,г. Москва,nonchain,marlboro,32431,6159519,18989072,0.32
2019-08-06,Ленинградская область,chain,marlboro,2829,6159519,18989072,0.32
2019-08-06,Ленинградская область,nonchain,marlboro,22951,6159519,18989072,0.32
2019-08-06,Московская область,chain,marlboro,2847,6159519,18989072,0.32
2019-08-06,Московская область,nonchain,marlboro,21421,6159519,18989072,0.32
2019-08-06,Новосибирская область,chain,marlboro,7297,6159519,18989072,0.32
2019-08-06,Новосибирская область,nonchain,marlboro,14724,6159519,18989072,0.32
